ID_Matricula,ID_Estudiante,ID_Curso,Correo,FechaNacimiento,DepNacimiento,TipoDocumento,NumeroDocumento,AnioLectivo
1,1,2,correo.est1@edunotas.edu,2005-10-26,Colombia,CC,10000001,2025
2,2,2,correo.est2@edunotas.edu,2008-03-07,Colombia,CC,10000002,2025
3,3,7,correo.est3@edunotas.edu,2005-08-05,Colombia,CC,10000003,2025
4,4,6,correo.est4@edunotas.edu,2004-02-05,Colombia,CC,10000004,2025
5,5,10,correo.est5@edunotas.edu,2008-01-24,Colombia,CC,10000005,2025
6,6,4,correo.est6@edunotas.edu,2004-01-05,Colombia,CC,10000006,2025
7,7,7,correo.est7@edunotas.edu,2005-04-15,Colombia,CC,10000007,2025
8,8,1,correo.est8@edunotas.edu,2006-01-13,Colombia,CC,10000008,2025
9,10,8,correo.est9@edunotas.edu,2006-09-24,Colombia,CC,10000010,2025
10,11,3,correo.est10@edunotas.edu,2006-03-28,Colombia,CC,10000011,2025
11,12,3,correo.est11@edunotas.edu,2008-03-11,Colombia,CC,10000012,2025
12,13,5,correo.est12@edunotas.edu,2007-06-27,Colombia,CC,10000013,2025
13,14,5,correo.est13@edunotas.edu,2007-07-08,Colombia,CC,10000014,2025
14,15,2,correo.est14@edunotas.edu,2007-10-03,Colombia,CC,10000015,2025
15,16,5,correo.est15@edunotas.edu,2006-06-20,Colombia,CC,10000016,2025
16,17,1,correo.est16@edunotas.edu,2005-07-11,Colombia,CC,10000017,2025
17,18,4,correo.est17@edunotas.edu,2006-12-28,Colombia,CC,10000018,2025
18,19,5,correo.est18@edunotas.edu,2005-04-15,Colombia,CC,10000019,2025
19,20,3,correo.est19@edunotas.edu,2006-07-14,Colombia,CC,10000020,2025
20,21,8,correo.est20@edunotas.edu,2007-12-28,Colombia,CC,10000021,2025
21,22,3,correo.est21@edunotas.edu,2005-07-23,Colombia,CC,10000022,2025
22,24,8,correo.est22@edunotas.edu,2007-02-16,Colombia,CC,10000024,2025
23,25,5,correo.est23@edunotas.edu,2007-10-01,Colombia,CC,10000025,2025
24,26,5,correo.est24@edunotas.edu,2006-06-06,Colombia,CC,10000026,2025
25,27,3,correo.est25@edunotas.edu,2006-12-25,Colombia,CC,10000027,2025
26,28,3,correo.est26@edunotas.edu,2004-06-20,Colombia,CC,10000028,2025
27,30,7,correo.est27@edunotas.edu,2006-03-12,Colombia,CC,10000030,2025
28,31,5,correo.est28@edunotas.edu,2008-08-18,Colombia,CC,10000031,2025
29,32,1,correo.est29@edunotas.edu,2007-05-08,Colombia,CC,10000032,2025
30,34,8,correo.est30@edunotas.edu,2004-10-27,Colombia,CC,10000034,2025
31,37,7,correo.est31@edunotas.edu,2004-12-21,Colombia,CC,10000037,2025
32,38,4,correo.est32@edunotas.edu,2006-09-20,Colombia,CC,10000038,2025
33,39,8,correo.est33@edunotas.edu,2005-02-04,Colombia,CC,10000039,2025
34,40,7,correo.est34@edunotas.edu,2004-02-12,Colombia,CC,10000040,2025
35,41,7,correo.est35@edunotas.edu,2006-04-19,Colombia,CC,10000041,2025
36,42,10,correo.est36@edunotas.edu,2006-03-03,Colombia,CC,10000042,2025
37,43,2,correo.est37@edunotas.edu,2006-05-26,Colombia,CC,10000043,2025
38,44,3,correo.est38@edunotas.edu,2006-01-03,Colombia,CC,10000044,2025
39,46,6,correo.est39@edunotas.edu,2004-11-24,Colombia,CC,10000046,2025
40,47,5,correo.est40@edunotas.edu,2005-11-15,Colombia,CC,10000047,2025
41,48,10,correo.est41@edunotas.edu,2004-12-17,Colombia,CC,10000048,2025
42,50,7,correo.est42@edunotas.edu,2008-01-17,Colombia,CC,10000050,2025
43,51,9,correo.est43@edunotas.edu,2005-06-17,Colombia,CC,10000051,2025
44,52,6,correo.est44@edunotas.edu,2006-09-21,Colombia,CC,10000052,2025
45,53,4,correo.est45@edunotas.edu,2007-05-11,Colombia,CC,10000053,2025
46,54,5,correo.est46@edunotas.edu,2008-08-12,Colombia,CC,10000054,2025
47,55,10,correo.est47@edunotas.edu,2007-10-19,Colombia,CC,10000055,2025
48,56,8,correo.est48@edunotas.edu,2006-03-12,Colombia,CC,10000056,2025
49,57,5,correo.est49@edunotas.edu,2005-11-19,Colombia,CC,10000057,2025
50,58,1,correo.est50@edunotas.edu,2006-04-13,Colombia,CC,10000058,2025
51,60,9,correo.est51@edunotas.edu,2005-08-11,Colombia,CC,10000060,2025
52,61,7,correo.est52@edunotas.edu,2008-05-19,Colombia,CC,10000061,2025
53,63,8,correo.est53@edunotas.edu,2008-06-02,Colombia,CC,10000063,2025
54,64,8,correo.est54@edunotas.edu,2008-11-28,Colombia,CC,10000064,2025
55,65,7,correo.est55@edunotas.edu,2007-03-25,Colombia,CC,10000065,2025
56,66,6,correo.est56@edunotas.edu,2005-01-25,Colombia,CC,10000066,2025
57,67,9,correo.est57@edunotas.edu,2004-06-17,Colombia,CC,10000067,2025
58,68,1,correo.est58@edunotas.edu,2008-07-15,Colombia,CC,10000068,2025
59,69,9,correo.est59@edunotas.edu,2008-05-12,Colombia,CC,10000069,2025
60,70,2,correo.est60@edunotas.edu,2004-10-08,Colombia,CC,10000070,2025
61,71,3,correo.est61@edunotas.edu,2006-07-16,Colombia,CC,10000071,2025
62,72,2,correo.est62@edunotas.edu,2008-10-19,Colombia,CC,10000072,2025
